Flight,Distance,Payload,Starting Fuel,TOW,Climb Time,Climb Fuel Burn,Cruise Time,Cruise Fuel Burn
1,549,147000,39500,487000,20,28500,41,26487
2,590,36000,42500,377500,22,25909,45,17866
3,601,91109,27813,417922,23,28695,45,20000
4,582,929,53009,352000,14,30857,50,20279
5,446,41835,44605,385441,21,27714,27,17555
6,679,191200,67100,557300,21,35428,55,24872
7,600,83671,55626,438297,15,29199,52,22500
8,577,52990,51976,403944,25,28319,42,18714
9,593,141312,60349,500661,18,33000,46,25173
10,430,40906,44081,383987,21,28571,12,20499
11,411,87390,44605,430996,19,31894,23,22173
12,1319,111562,102330,512893,22,32181,136,22323
13,446,31609,47229,377839,22,27818,30,16600
14,861,91109,73993,464102,20,31199,74,22702
15,697,61359,54576,414935,21,29428,55,19963
16,782,43695,45655,388350,23,28173,62,16548
17,797,99476,60873,459350,19,30315,70,21857
18,558,31609,48279,378888,32,25500,31,17806
19,594,123648,56675,479324,15,33199,49,24734
20,653,40906,55101,395007,24,28750,49,18367
21,1041,191515,82914,573429,16,35250,101,27326
22,523,54851,45655,399506,16,34500,37,21567
23,612,64148,54051,417200,15,33599,51,24117
24,618,43695,48804,391499,18,33000,52,20653
25,285,53921,38308,391230,18,31000,10,21599
26,290,53921,39358,392279,15,33999,16,20625
28,405,147820,47229,494050,16,34875,26,25846
29,1057,92039,75042,466081,14,36428,109,24715
31,646,153398,62972,515371,16,34874,56,24964
32,807,223125,72943,595068,20,36000,75,26480
33,633,106914,59824,465738,14,36857,54,22555
35,589,134804,67171,500975,13,36000,55,24218
36,611,99476,58774,457251,15,33599,52,23769
37,521,143171,57200,499372,18,33667,40,24150
38,549,131085,58249,488335,18,34667,38,23526
39,667,71585,58774,429360,17,31764,56,21642
40,555,103195,56150,458346,16,35625,44,24681
41,617,125507,59824,484332,17,32823,52,24115
